level,lesson_order,lesson_title,greek,russian,example
A2,1,Урок 1,το βιβλίο,книга,
A2,1,Урок 1,το τετράδιο,тетрадь,
A2,1,Урок 1,το περιοδικό,журнал,
A2,1,Урок 1,το μολύβι,карандаш,
A2,1,Урок 1,το στυλό,ручка,
A2,1,Урок 1,η πένα,ручка,
A2,1,Урок 1,το σχολείο,школа,
A2,1,Урок 1,το δωμάτιο,комната,
A2,1,Урок 1,το σπίτι,дом,
A2,1,Урок 1,το γραφείο,"офис, кабинет, письменный стол",
A2,1,Урок 1,το τηλέφωνο,телефон,
A2,1,Урок 1,το ραδιόφωνο,радио,
A2,1,Урок 1,το ρολόι,часы,
A2,1,Урок 1,το αυτοκίνητο,машина,
A2,1,Урок 1,το παράθυρο,окно,
A2,1,Урок 1,η πόρτα,дверь,
A2,1,Урок 1,ο τοίχος,стена,
A2,1,Урок 1,το πάρκο,парк,
A2,1,Урок 1,το κουτί,коробка,
A2,1,Урок 1,το βάζο,ваза,
A2,1,Урок 1,το κομπιούτερ,компьютер,
A2,1,Урок 1,το ερμάρι,шкаф,
A2,1,Урок 1,το τραπέζι,стол,
A2,1,Урок 1,το πάτωμα,пол,
A2,1,Урок 1,το ταβάνι,потолок,
A2,1,Урок 1,το κλειδί,ключ,
A2,1,Урок 1,το διαμέρισμα,квартира,
A2,1,Урок 1,το λουλούδι,цветок,
A2,1,Урок 1,το καλάθι,корзина,
A2,1,Урок 1,το γράμμα,письмо,
A2,1,Урок 1,το κατάστημα,магазин,
A2,1,Урок 1,το πράγμα,вещь,
A2,1,Урок 1,το φόρεμα,платье,
A2,1,Урок 1,το μάθημα,урок,
A2,1,Урок 1,το μήλο,яблоко,
A2,1,Урок 1,το φρούτο,фрукт,
A2,1,Урок 1,το νερό,вода,
A2,1,Урок 1,το ψωμί,хлеб,
A2,1,Урок 1,ο μαθητής,ученик,
A2,1,Урок 1,η μαθήτρια,ученица,
A2,1,Урок 1,ο δάσκαλος,учитель,
A2,1,Урок 1,η δασκάλα,учительница,
A2,1,Урок 1,ο γιατρός,врач,
A2,1,Урок 1,ο κύριος,господин,
A2,1,Урок 1,η κυρία,госпожа,
A2,1,Урок 1,ο φοιτητής,студент,
A2,1,Урок 1,η φοιτήτρια,студентка,
A2,1,Урок 1,η καρέκλα,стул,
A2,1,Урок 1,το παιδί (τα παιδιά),ребёнок (дети),
A2,1,Урок 1,το ποδήλατο,велосипед,
A2,1,Урок 1,το πουκάμισο,рубашка,
A2,1,Урок 1,το παλτό,пальто,
A2,1,Урок 1,το σακάκι,"куртка, пиджак",
A2,1,Урок 1,το καπέλο,шапка,
A2,1,Урок 1,το παντελόνι,брюки,
A2,1,Урок 1,ο πίνακας,"доска, картина",
A2,1,Урок 1,ο χαρτοφύλακας,портфель,
A2,1,Урок 1,η τσάντα,сумка,
A2,1,Урок 1,η πόλη,город,
A2,1,Урок 1,το χωριό,деревня,
A2,1,Урок 1,το όνομα,имя,
A2,1,Урок 1,ο άντρας,"мужчина, муж",
A2,1,Урок 1,η γυναίκα,"женщина, жена",
A2,1,Урок 1,ο καθηγητής,преподаватель,
A2,1,Урок 1,η καθηγήτρια,преподавательница,
A2,1,Урок 1,η τάξη,класс,
A2,1,Урок 1,η χώρα,страна,
A2,1,Урок 1,η Ρωσία,Россия,
A2,1,Урок 1,η Ελλάδα,Греция,
A2,1,Урок 1,η Τουρκία,Турция,
A2,1,Урок 1,η Αγγλία,Англия,
A2,1,Урок 1,η Ισπανία,Испания,
A2,1,Урок 1,ο Καναδάς,Канада,
A2,1,Урок 1,ο Λίβανος,Ливан,
A2,1,Урок 1,η Βουλγαρία,Болгария,
A2,1,Урок 1,το Βέλγιο,Бельгия,
A2,1,Урок 1,η Γαλλία,Франция,
A2,1,Урок 1,η Γερμανία,Германия,
A2,1,Урок 1,η Κύπρος,Кипр,
A2,1,Урок 1,η Ιταλία,Италия,
A2,1,Урок 1,η Λευκορωσία,Беларусь,
A2,1,Урок 1,η Ουκρανία,Украина,
A2,2,Урок 2,το επώνυμο,фамилия,
A2,2,Урок 2,το επίθετο,фамилия,
A2,2,Урок 2,η διεύθυνση,адрес,
A2,2,Урок 2,η περιοχή,район,
A2,2,Урок 2,ο ταχυδρομικός κώδικας,почтовый индекс,
A2,2,Урок 2,το σταθερό,домашний телефон,
A2,2,Урок 2,το κινητό,мобильный,
A2,2,Урок 2,ακριβώς,"именно, точно, ровно",
A2,2,Урок 2,το νούμερο,номер,
A2,2,Урок 2,ο δρόμος,"дорога, улица, путь",
A2,2,Урок 2,η θάλασσα,море,
A2,2,Урок 2,το φαρμακείο,аптека,
A2,2,Урок 2,ο ήλιος,солнце,
A2,2,Урок 2,ο ουρανός,небо,
A2,2,Урок 2,το μουσείο,музей,
A2,2,Урок 2,το εστιατόριο,ресторан,
A2,2,Урок 2,το περίπτερο,киоск,
A2,2,Урок 2,η ταβέρνα,таверна,
A2,2,Урок 2,το νοσοκομείο,больница,
A2,2,Урок 2,ο φούρνος,хлебный магазин,
A2,2,Урок 2,το μαγαζί,"магазин, заведение",
A2,2,Урок 2,το ξενοδοχείο,гостиница,
A2,2,Урок 2,το πρόβλημα,проблема,
A2,2,Урок 2,το δημαρχείο,мэрия,
A2,2,Урок 2,το εργοστάσιο,завод,
A2,2,Урок 2,το ταχυδρομείο,почта,
A2,2,Урок 2,το βιβλιοπωλείο,книжный магазин,
A2,2,Урок 2,το αεροδρόμιο,аэропорт,
A2,2,Урок 2,το κρέας,мясо,
A2,2,Урок 2,το κρασί,вино,
A2,2,Урок 2,το γάλα,молоко,
A2,2,Урок 2,το ποτήρι,стакан,
A2,2,Урок 2,το μπουκάλι,бутылка,
A2,2,Урок 2,τα λεφτά,деньги,
A2,2,Урок 2,τα χρήματα,деньги,
A2,2,Урок 2,η θέρμανση,отопление,
A2,2,Урок 2,η εφημερίδα,газета,
A2,2,Урок 2,το ποδόσφαιρο,футбол,
A2,2,Урок 2,το ψάρι,рыба,
A2,2,Урок 2,η έκθεση,"выставка, сочинение",
A2,2,Урок 2,το βράδυ,"вечер, вечером",
A2,2,Урок 2,το παγωτό,мороженое,
A2,2,Урок 2,το πιάνο,пианино,
A2,2,Урок 2,ο χυμός,сок,
A2,2,Урок 2,ο καφές,кофе,
A2,2,Урок 2,το λιμάνι,порт,
A2,2,Урок 2,η στάση,остановка,
A2,2,Урок 2,η τράπεζα,банк,
A2,2,Урок 2,η πλατεία,площадь,
A2,2,Урок 2,ο κινηματογράφος,"кинотеатр, кинематограф",
A2,2,Урок 2,το μετρό,метро,
A2,2,Урок 2,το λεωφορείο,автобус,
A2,2,Урок 2,ήδη / πια,уже,
A2,2,Урок 2,καλά,хорошо,
A2,2,Урок 2,το σκυλάκι,собачка,
A2,2,Урок 2,τώρα,сейчас,
A2,2,Урок 2,κοντά,недалеко,
A2,2,Урок 2,εδώ,здесь,
A2,2,Урок 2,εκεί,там,
A2,2,Урок 2,συχνά,часто,
A2,2,Урок 2,συνήθως,обычно,
A2,2,Урок 2,πάντα,всегда,
A2,2,Урок 2,σπάνια,редко,
A2,2,Урок 2,ποτέ,никогда,
A2,2,Урок 2,τα Ελληνικά,греческий язык,
A2,2,Урок 2,τα Αγγλικά,английский язык,
A2,2,Урок 2,το πορτοφόλι,кошелёк,
A2,2,Урок 2,το παραμύθι,сказка,
A2,2,Урок 2,μένω,жить,
A2,2,Урок 2,έχω,иметь,
A2,2,Урок 2,κάνω,делать,
A2,2,Урок 2,διαβάζω,читать,
A2,2,Урок 2,γράφω,писать,
A2,2,Урок 2,παίζω,играть,
A2,2,Урок 2,μαθαίνω,учить,
A2,2,Урок 2,μαγειρεύω,готовить еду,
A2,2,Урок 2,ξέρω,знать,
A2,2,Урок 2,βλέπω,видеть,
A2,2,Урок 2,κοιτάζω,смотреть,
A2,2,Урок 2,θέλω,хотеть,
A2,2,Урок 2,αγοράζω,покупать,
A2,2,Урок 2,δουλεύω,работать,
A2,2,Урок 2,καπνίζω,курить,
A2,2,Урок 2,καταλαβαίνω,понимать,
A2,2,Урок 2,σπουδάζω,учиться (в ВУЗЕ),
A2,2,Урок 2,διδάσκω,преподавать,
A2,2,Урок 2,πηγαίνω,"идти, ходить, ехать, ездить",
A2,2,Урок 2,περιμένω,ждать,
A2,3,Урок 3,η οικογένεια,семья,
A2,3,Урок 3,η μητέρα / η μαμά,мама,
A2,3,Урок 3,ο πατέρας / ο μπαμπάς,папа,
A2,3,Урок 3,η κόρη,дочь,
A2,3,Урок 3,ο γιος,сын,
A2,3,Урок 3,ο αδελφός / ο αδερφός,брат,
A2,3,Урок 3,η αδελφή / η αδερφή,сестра,
A2,3,Урок 3,τα αδέλφια / τα αδέρφια,братья и сёстры,
A2,3,Урок 3,ο παππούς,дедушка,
A2,3,Урок 3,η γιαγιά,бабушка,
A2,3,Урок 3,ο εγγονός,внук,
A2,3,Урок 3,η εγγονή,внучка,
A2,3,Урок 3,τα εγγόνια,внуки,
A2,3,Урок 3,ο θείος,дядя,
A2,3,Урок 3,η θεία,тётя,
A2,3,Урок 3,ο ξάδελφος / ο ξάδερφος,двоюродный брат,
A2,3,Урок 3,η ξαδέλφη / η ξαδέρφη,двоюродная сестра,
A2,3,Урок 3,τα ξαδέλφια / τα ξαδέρφια,двоюродные братья и сёстры,
A2,3,Урок 3,ο ανιψιός,племянник,
A2,3,Урок 3,η ανιψιά,племянница,
A2,3,Урок 3,τα ανίψια,племянники,
A2,3,Урок 3,οι γονείς,родители,
A2,3,Урок 3,το σόι / οι συγγενείς,родня / родственники,
A2,3,Урок 3,το αγόρι,мальчик,
A2,3,Урок 3,το κορίτσι,девочка,
A2,3,Урок 3,η οικογενειακή κατάσταση,семейное положение,
A2,3,Урок 3,παντρεμένος,женатый,
A2,3,Урок 3,παντρεμένη,замужняя,
A2,3,Урок 3,ανύπαντρος,неженатый,
A2,3,Урок 3,ανύπαντρη,незамужняя,
A2,3,Урок 3,ελεύθερος,свободный,
A2,3,Урок 3,ελεύθερη,свободная,
A2,3,Урок 3,αρραβωνιασμένος,обручённый,
A2,3,Урок 3,αρραβωνιασμένη,обручённая,
A2,3,Урок 3,χωρισμένος,разведённый,
A2,3,Урок 3,χωρισμένη,разведённая,
A2,3,Урок 3,ο χήρος,вдовец,
A2,3,Урок 3,η χήρα,вдова,
A2,3,Урок 3,η δουλειά,работа,
A2,3,Урок 3,ο / η δικηγόρος,адвокат,
A2,3,Урок 3,ο / η ηλεκτρολόγος,электрик,
A2,3,Урок 3,ο / η οδηγός,водитель,
A2,3,Урок 3,ο / η μηχανικός,инженер,
A2,3,Урок 3,ο / η υπάλληλος,служащий,
A2,3,Урок 3,ο / η ηθοποιός,актёр / актриса,
A2,3,Урок 3,ο / η ταμίας,кассир,
A2,3,Урок 3,ο / η αρχιτέκτονας,архитектор,
A2,3,Урок 3,ο / η γραμματέας,секретарь,
A2,3,Урок 3,ο / η δημοσιογράφος,журналист / журналистка,
A2,3,Урок 3,ο / η φαρμακοποιός,"фармацевт, провизор",
A2,3,Урок 3,ο / η αρχαιολόγος,археолог,
A2,3,Урок 3,ο / η φωτογράφος,фотограф,
A2,3,Урок 3,ο / η οδοντίατρος,зубной врач,
A2,3,Урок 3,ο / η μαθηματικός,математик,
A2,3,Урок 3,ο κομμωτής / η κομμώτρια,парикмахер,
A2,3,Урок 3,ο εργάτης / η εργάτρια,рабочий / рабочая,
A2,3,Урок 3,ο πωλητής / η πωλήτρια,продавец / продавщица,
A2,3,Урок 3,ο αθλητής / η αθλήτρια,спортсмен / спортсменка,
A2,3,Урок 3,ο σερβιτόρος / η σερβιτόρα,официант / официантка,
A2,3,Урок 3,ο νοσοκόμος / η νοσοκόμα,медбрат / медсестра,
A2,3,Урок 3,ο άνεργος / η άνεργη,безработный / безработная,
A2,3,Урок 3,ο μάγειρας / η μαγείρισσα,повар,
A2,3,Урок 3,ο τραγουδιστής / η τραγουδίστρια,певец / певица,
A2,3,Урок 3,ο φίλος,друг,
A2,3,Урок 3,η φίλη,подруга,
A2,3,Урок 3,μαζί,вместе,
A2,3,Урок 3,ταξιδεύω,путешествовать,
A2,3,Урок 3,το σούπερ μάρκετ,супермаркет,
A2,3,Урок 3,το κομμωτήριο,парикмахерская,
A2,3,Урок 3,το συνεργείο,"ремонтная мастерская, бригада",
A2,3,Урок 3,ψάχνω (για),искать,
A2,3,Урок 3,το ταμείο,касса,
A2,3,Урок 3,η ιστορία,история,
A2,3,Урок 3,το δικηγορικό γραφείο,адвокатская контора,
A2,3,Урок 3,το φωτογραφείο,фотоателье,
A2,3,Урок 3,η φωτογραφία,фотография,
A2,4,Урок 4,το καφενείο / η καφετέρια,кафе,
A2,4,Урок 4,ο σταθμός,"станция, вокзал",
A2,4,Урок 4,η αγγελία,объявление,
A2,4,Урок 4,η αμοιβή,"оплата услуг, гонорар",
A2,4,Урок 4,ο χώρος,"место, пространство, территория, помещение",
A2,4,Урок 4,η γραμματεία,"секретариат, приемная",
A2,4,Урок 4,το ωράριο,"график работы, часы работы",
A2,4,Урок 4,η ρεσεψιόν,"администрация, приемная",
A2,4,Урок 4,η ώρα,"время, час",
A2,4,Урок 4,η γνώση,знание,
A2,4,Урок 4,η εταιρεία,"компания, фирма",
A2,4,Урок 4,το έντυπο,бланк,
A2,4,Урок 4,η εγγραφή,"запись, регистрация",
A2,4,Урок 4,η εθνικότητα,национальность,
A2,4,Урок 4,η γλώσσα,язык,
A2,4,Урок 4,το επάγγελμα,профессия,
A2,4,Урок 4,η αρχαιολογία,археология,
A2,4,Урок 4,το πανεπιστήμιο,университет,
A2,4,Урок 4,η κάρτα / ο χάρτης,карта,
A2,4,Урок 4,το θρανίο,парта,
A2,4,Урок 4,το σφουγγάρι,губка,
A2,4,Урок 4,το ράφι,полка,
A2,4,Урок 4,η βιβλιοθήκη,библиотека,
A2,4,Урок 4,ο υπολογιστής,компьютер,
A2,4,Урок 4,το σπουδαστήριο,зал для занятий в учебном заведении,
A2,4,Урок 4,ο μαρκαδόρος,маркер,
A2,4,Урок 4,το σακίδιο,рюкзак,
A2,4,Урок 4,το διάλειμμα,"перемена, перерыв",
A2,4,Урок 4,το δίπλωμα / το πτυχίο,диплом,
A2,4,Урок 4,το πρόγραμμα,программа,
A2,4,Урок 4,το αμφιθέατρο,амфитеатр,
A2,4,Урок 4,το κυλικείο,буфет,
A2,4,Урок 4,το μέρος,"место, часть",
A2,4,Урок 4,ο μάγος,маг,
A2,4,Урок 4,τα νομικά,"правоведение, юриспруденция",
A2,4,Урок 4,τα οικονομικά,экономика,
A2,4,Урок 4,η ψυχολογία,психология,
A2,4,Урок 4,η ιατρική,медицина,
A2,4,Урок 4,η φιλολογία,филология,
A2,4,Урок 4,η πληροφορική,информатика,
A2,4,Урок 4,η αρχιτεκτονική,архитектура,
A2,4,Урок 4,τα παιδαγωγικά,педагогика,
A2,4,Урок 4,η μετάφραση / η διερμηνεία,перевод,
A2,4,Урок 4,η σχολή,"факультет, школа",
A2,4,Урок 4,το τμήμα,"отделение, отдел",
A2,4,Урок 4,η αίθουσα,зал,
A2,4,Урок 4,το πάσο,"пропуск, проездной",
